Name,Dimension,w px,h px,Diameter (inch),Image,Price,Link,Notes,Relevance
200x200 1.54inch Schwarz / Weiss E-Ink Display,26.94 x 26.94,200,200,1.50,420424b-5-800x800.jpg (https://v5.airtableusercontent.com/v1/13/13/1670263200000/-eL7XCzjJzQyKIdkpD5NHw/KO5Z5uPZbbtfljJRCayMvct7P3TEUcuLb9i4vTTn3ewqhqJlVuV4ZB0JKwsbPdx4mh3tLc1ZWzkoq-eEtHdP2iNpZ4vf4S1wuzvMLKoufCk/wjr-3TjpesNRQHw57DsRTNraClquA5QXLyzuo0HVe1w),CHF 19.00,https://www.bastelgarage.ch/bauteile/displays/e-ink-epapers-display/200x200-1-54inch-schwarz-weiss-e-ink-display?limit=100,Full refresh 2s,5
LilyGo T-Dispay E-paper ESP32 Modul mit 1.02 Inch Display,21.97 x 13.73,128,80,1.02,422427-5-800x800.jpg (https://v5.airtableusercontent.com/v1/13/13/1670263200000/vOofqWZEI4Lk_bFqVeVTEg/lcJ8yfQt1_xMqCE86DiorI25ien4-ayEepakf9_Xyti8IH0HtEE7w0lkRGeOhGgkHuMsz7LbIy7S0POdGz8kN2eBTRkDwF-5eEZ0SJHOCZY/Ot9LF1FEs2alDAWrKJCQOpXcXcVyQrzR1raRqHm3s_g),CHF 20.00,https://www.bastelgarage.ch/bauteile/displays/e-ink-epapers-display/lilygo-t-dispay-e-paper-esp32-modul-mit-1-02-inch-display?limit=100,full refresh 2 sec,5
LilyGo T5 ESP32 Modul mit 2.66 Inch E-Ink Display,60.1 x 30.86,296,152,2.66,422425-2-800x800.jpg (https://v5.airtableusercontent.com/v1/13/13/1670263200000/QWOSEy19fY7dN0sqdtVi7g/qASSvJj0kiZA2_6rZ2OdDGopq_N4pTmLqfOPf8p4grzhJxeVJXAwQ4jbvraBWG-hsQdVEVpXCq7ZVZQV3Q8y25nb0kNtWTDJ6glCjXniRjA/dLdLhSv7KwsfJZleWcSnsIEuYTdM-uRGQ7ofuz_TBFE),CHF 36.00,https://www.bastelgarage.ch/bauteile/displays/e-ink-epapers-display/lilygo-t5-esp32-modul-mit-2-66-inch-e-ink-display?limit=100,full refresh 2 sec,5
200x200 1.54inch E-Ink Raw Schwarz / Weiss e-Paper Display,27.66 x 27.66,200,200,1.54,420630-1-228x228.jpg (https://v5.airtableusercontent.com/v1/13/13/1670263200000/W2BZSzmyzunPsSJDWWxQsA/TSP8wktMy0DSEx9Vja_Pxt7v6oXjX_NXUx9q9fBBJXf_HKSwTFx7-znetM1eyTaVZlgt9W4ovkFhvYixqJ8jFf3uX5ZEdeimp5dx9sUCtCY/pD2mot9uLLyk_NHGWhiKkYzN1FRKCMKIe5qk05qbo4M),CHF 10.00,https://www.bastelgarage.ch/bauteile/displays/e-ink-epapers-display/200x200-1-54inch-e-ink-raw-schwarz-weiss-e-paper-display?limit=100,,4
250x122 2.13inch E-Ink Raw Schwarz / Weiss e-Paper Display,48.62 x 23.73,250,122,2.13,420631-1-228x228.jpg (https://v5.airtableusercontent.com/v1/13/13/1670263200000/HZ-DhaIGwvObfaRc04vygQ/ax9rFd72oNDP-Xa9vX4auPcRBlOexlPQoFBOarS33f4IT8gw917xZTO8rJpmFyibgGFt5w9cnjOoq9ALIwhxbBCl8QTTwNlWMwj_9bR7yK8/K40roO3m0AIG5ehLZ2DHQQtYo9bc5RV9oRq6SC2Geug),CHF 10.00,https://www.bastelgarage.ch/bauteile/displays/e-ink-epapers-display/250x122-2-13inch-e-ink-raw-schwarz-weiss-e-paper-display?limit=100,,4
ESP8266 Universal Raw e-Paper Driver Board WiFi,#ERROR!,0,0,0.00,"420629-1-800x800.jpg (https://v5.airtableusercontent.com/v1/13/13/1670263200000/TjVQs5c_ZpPlSNJyuZ7prA/Ve-yFV1GJtUWCEHH2Sa8S_ah_559NmxcMTeTH0OWmahmHa6i-kBDySmce6mO0VTBIYtoh2OKwQ8jHS2nxP4BSSMXaxlC9VHtLbVz4Ot8rdM/kHrQsx3DxecCvaeOHaPGNsMM2RKV_bIUvRATW5NNrwE),420629-3-228x228.jpg (https://v5.airtableusercontent.com/v1/13/13/1670263200000/WWh7M-xQBxXCTx1t2HKn_g/l0xumPGnYC2f6m_xRR472duW83GPDppUDIR6qIREs4gUwVvgOkGrvnOl9oa-4PnpdPp_2QxNxtsqZ2CvZUkHbfVdFAv031etiJ6yQNRtBko/rJgvxZJZJs5WwgEF8rLJmRz9WTVGfzrLWSDJHgXzMKc)",CHF 15.00,https://www.bastelgarage.ch/esp8266-universal-raw-e-paper-driver-board-wifi,"controller for other raw displays, the orientation is weird",4
200x200 1.54inch 3-Farben E-Ink Display,27.66 x 27.66,200,200,1.54,420388b-5-228x228.jpg (https://v5.airtableusercontent.com/v1/13/13/1670263200000/Jr6iKCd_S1Hp3vdKgYIPrA/zJkW6SuyxB4GMtWRlidgfxy4SgusFJIvqHXj_lFKou-i0HKJMxMhTtDm6tIkBoUhzGNknr9XJeG4cWyxdVwo6He5Sn7Jjqo7DXfskRWYbmc/POWiqkUptBCWobiCgNuxA5khXQPwpli7kC_0NAy9abM),CHF 19.00,https://www.bastelgarage.ch/bauteile/displays/e-ink-epapers-display/200x200-1-54inch-3-farben-e-ink-display?limit=100,SPI interface. Full Refresh: 8s. Grau Level: 2 .,4
Waveshare 168x168 1.64inch 4-Farben E-Ink Display,29.46 x 29.46,168,168,1.64,422494-2-800x800.jpg (https://v5.airtableusercontent.com/v1/13/13/1670263200000/BZxCLhdeNLO1nodLvfm6QQ/jMB1Dv6X5SVRM1bkYhT83k62OKT5oH9P871-JSI5fW2O3wOqrW6W6BTB1cjn0Vrr2xuAU1vX2oNiBmV_nOGeJMSFVrmcIOTEVoSDmagsxaE/S2sdu0x1kckfespI2oYXF46UJ5aY0eh513ISoXh2bAY),CHF 20.00,https://www.bastelgarage.ch/bauteile/displays/e-ink-epapers-display/168x168-1-64inch-4-farben-e-ink-display?limit=100,4 colors. Full Refresh: 12s ,4
128x80 1.02inch Schwarz / Weiss E-Ink Display,21.97 x 13.73,128,80,1.02,"422010-1-228x228.jpg (https://v5.airtableusercontent.com/v1/13/13/1670263200000/NaYUCh77GJkksordLa9ZtA/hbBmd9kv7inDogTb4klnUjQA4oat8gk_cLhe3ufa00iviMPeoNH84eE2fj4_R4zdjMQutIZrAdDdMPE5wuexx6eFzq1LFQS91sAeU3rRKXU/fnc4vPx8xw-yVHRM9VgOcyzlgpNvXcHcFqjNoGyzNiI),422010-7-800x800.jpg (https://v5.airtableusercontent.com/v1/13/13/1670263200000/Zch-ucMpYEPZ4Z0YEoVu4A/DlVH9xP19WHUqNngJmVxuVzRNIeChn_pWaLxBhZard85qeduxKDwExGFLpeyHTudgpYAJsGUTx1-DgB5fvqkuUvqq2ILnyhbd1BuNrsbN-g/DjvdL1AF0prLwmJ1zU0ePHJQOrE5OstoMmaOIXGSnC8)",CHF 17.00,https://www.bastelgarage.ch/bauteile/displays/e-ink-epapers-display/128x80-1-02inch-schwarz-weiss-e-ink-display?limit=100,,3
296x152 2.66inch Schwarz / Weiss E-Ink Display,60.1 x 30.86,296,152,2.66,422011-1-228x228.jpg (https://v5.airtableusercontent.com/v1/13/13/1670263200000/kHWjfzDoX7j5JCwuDy6zqw/9DvaU7kXBSkfqI6e4F_u39XyZLsWaK0xlB3c-bwVPV4yfawfX9AaQgQUyAV_mC_RzSMHVpyJCXq_kMNkEXOcWiSgdPvZ8kV31ZsH-XOimFM/L8xDIBuRDaZ_FhDo5xmTd_K_PjKikZtzZcO2Ief0ZCw),CHF 19.00,https://www.bastelgarage.ch/bauteile/displays/e-ink-epapers-display/296x152-2-66inch-schwarz-weiss-e-ink-display?limit=100,"3 secs full refresh, partial refresh supported",3
2.13 Zoll E-Ink Cloud Modul mit WiFi und Bluetooth,48.62 x 23.73,250,122,2.13,Screenshot 2022-12-05 at 13_55_25.png (https://v5.airtableusercontent.com/v1/13/13/1670263200000/Fr3HxT77Rqtm4VXhTSmCLg/RkalYFJdV38J2lTN9u3wTs8dJ0uC1xI_cD9VYZlrnDiRYtdiqOIhI0B9-EiaS927bGlz7jPJe4BPVElbcLMex9LNVtF0JHTBwaU5nG93cG74p_rwYDb9qOZbDRAakaP5/QFCd9jglrexDNe_xSRfiA3mo6S11W3mmu-R271g4Imo),CHF 29.00,https://www.bastelgarage.ch/bauteile/displays/e-ink-epapers-display/2-13-zoll-e-ink-cloud-modul-mit-wifi-und-bluetooth?limit=100,"Super cool because comes with ESP32, but not clear if reprogrammable. Refresh time: 4s",2
296x128 2.9inch 3-Farben E-Ink Display,67.61 x 29.24,296,128,2.90,420387-228x228.jpg (https://v5.airtableusercontent.com/v1/13/13/1670263200000/bXIhEKEwhwsN2LrpF07yHg/Cwacszkl0jhcw30E5cgoJzM0Rs7zNo_6EuU0a-omLk2yUTfIDq3tnEEt32mqzXOpkWAbZ8R8Wg8k2-zGtZGevyYOkRe0BRGzsYXoiehVC8A/jXtrSbW-b11RZQGInhGHmX46ICL3MnNgiqxib76ZYvA),CHF 26.00,https://www.bastelgarage.ch/bauteile/displays/e-ink-epapers-display/296x128-2-9inch-3-farben-e-ink-display?limit=100,15 sec for refresh!!!,1
LilyGo TTGO Mini E-Paper Core ESP32 mit 1.02 Inch Display und Gehäuse,#ERROR!,0,0,0.00,422426-4-800x800.jpg (https://v5.airtableusercontent.com/v1/13/13/1670263200000/lEV3vfmOrSV6u5ViwWvYXg/KPQG5DpPkdW7TZPkiW-bxWjQbWEShxYyz2IJyIL9sCTj8sq3BwR0WzRnuzVnq1iieeqYeYnwqQNvx6LQHo4lbi19WDY-QvyqaHKQEBJIqYQ/wTksw4V78vXak2N314t9mIwOpGqD3jiUcVj78wpMHEE),CHF 32.00,https://www.bastelgarage.ch/bauteile/displays/e-ink-epapers-display/lilygo-ttgo-mini-e-paper-core-esp32-mit-1-02-inch-display-und-gehause?limit=100,Interesting for the case,1